SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,JAHANGIR KHAN,Jammu & Kashmir National Panthers Party,4200,6,123,4329,0.95
2,ABDUL QAYOOM WANI,Jammu & Kashmir Peoples Democratic Party,53300,7,223,53530,11.75
3,HAJI FAROOQ AHMAD MIR,Indian National Congress,34193,47,292,34532,7.58
4,MOHAMMAD AKBAR LONE,Jammu & Kashmir National Conference,132919,50,457,133426,29.29
5,MOHD MAQBOOL WAR,Bharatiya Janata Party,5500,1813,581,7894,1.73
6,RAJA AIJAZ ALI,Jammu & Kashmir People Conference,102477,575,141,103193,22.65
7,JAVID AHMAD QURESHI,Independent,3326,6,51,3383,0.74
8,SYED NAJEEB SHAH NAQVI,Independent,4945,3,19,4967,1.09
9,ENGINEER RASHID,Independent,100667,10,1491,102168,22.43
10,NOTA,None of the Above,8055,15,58,8128,1.78
,Total, ,449582,2532,3436,455550,
