SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Badri Nath,Bahujan Samaj Party,14053,0,223,14276,0.97
2,Prof. Bhim Singh,Jammu & Kashmir National Panthers Party,3705,0,311,4016,0.27
3,Jugal Kishore,Bharatiya Janata Party,840214,0,17852,858066,58.02
4,Raman Bhalla,Indian National Congress,551187,0,4004,555191,37.54
5,Javaid Ahmed,All India Forward Bloc,3833,0,33,3866,0.26
6,Sushil Kumar,Hindusthan Nirman Dal,1261,0,20,1281,0.09
7,Syed Aqib Hussain,Independent People’s Party,1708,0,15,1723,0.12
8,Gursagar Singh,Navarang Congress Party,1086,0,17,1103,0.07
9,Lal Singh,"Dogra Swabhiman Sangathan Party,",6849,0,690,7539,0.51
10,Mohd Younis,Jammu & Kashmir Pir Panjal Awami Party,1584,0,28,1612,0.11
11,Manish Sahni,Shivsena,1157,0,35,1192,0.08
12,Ajay Kumar,Independent,915,0,26,941,0.06
13,Anil Singh,Independent,2118,0,13,2131,0.14
14,Balwan Singh,Independent,2182,0,12,2194,0.15
15,Bahadur,Independent,1180,0,21,1201,0.08
16,Perseen Singh,Independent,2608,0,4,2612,0.18
17,Tarseem Lal Khullar,Independent,2369,0,15,2384,0.16
18,Rajiv Chuni,Independent,1257,0,12,1269,0.09
19,Subash Chander,Independent,3723,0,16,3739,0.25
20,Satish Poonchi,Independent,3036,0,41,3077,0.21
21,Sakander Ahmad Nourani,Independent,1410,0,18,1428,0.1
22,Syed Zeshan Haider,Independent,1565,0,17,1582,0.11
23,Shazad Shabnam,Independent,1006,0,3,1009,0.07
24,Er. Ghulam Mustafa Chowdhary,Independent,2738,0,7,2745,0.19
25,NOTA,None of the Above,2546,0,72,2618,0.18
,Total, ,1455290,0,23505,1478795,
