SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Sheikh Khalid Jehangir,Bharatiya Janata Party,1962,2584,85,4631,2.48
2,Aga Syed Mohsin,Peoples Democratic Party,36609,11,80,36700,19.64
3,Abdual Rashid Ganie,Jammu & Kashmir National Panthers Party,776,6,9,791,0.42
4,Farooq Abdullah,Jammu & Kashmir National Conference,106456,140,154,106750,57.14
5,Showkat Hussain Khan,Janata Dal (United),1245,1,4,1250,0.67
6,Abdul Khaliq Bhat,Shivsena,574,2,2,578,0.31
7,Irfan Raza Ansari,Jammu & Kashmir People Conference,28668,77,28,28773,15.4
8,Nazir Ahmad Lone,Rashtriya Jankranti Party,500,0,6,506,0.27
9,Nazir Ahmad Sofi,Manvadhikar National Party,1502,2,3,1507,0.81
10,Bilal Sultan,Independent,1623,2,5,1630,0.87
11,Sajjad Ahmad Dar,Independent,610,0,3,613,0.33
12,Abdul Rashid Banday,Independent,1524,1,12,1537,0.82
13,NOTA,None of the Above,1478,13,75,1566,0.84
,Total, ,183527,2839,466,186832,
