SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,TILAK RAJ BHAGAT,Bahujan Samaj Party,16442,0,159,16601,1.41
2,DR. JITENDRA SINGH,Bharatiya Janata Party,715406,0,8905,724311,61.38
3,VIKRAMADITYA SINGH,Indian National Congress,366123,0,936,367059,31.1
4,HARSH DEV SINGH,Jammu & Kashmir National Panthers Party,24135,0,184,24319,2.06
5,LAL SINGH,"Dogra Swabhiman Sangathan Party,",18476,0,573,19049,1.61
6,MOHD AYUB,Navarang Congress Party,1615,0,58,1673,0.14
7,MEENAKSHI,Shivsena,1574,0,86,1660,0.14
8,BANSI LAL,Independent,1296,0,11,1307,0.11
9,RAKESH MUDGAL,Independent,1600,0,7,1607,0.14
10,SHABER AHMED,Independent,4425,0,17,4442,0.38
11,GARIB SINGH,Independent,4957,0,27,4984,0.42
12,FIRDOUS AHMED BAWANI,Independent,5540,0,3,5543,0.47
13,NOTA,None of the Above,7506,0,62,7568,0.64
,Total, ,1169095,0,11028,1180123,
