SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARJUN PUJHAR,All India Trinamool Congress,13084,20,13104,1.28
2,SHIBU SOREN,Jharkhand Mukti Morcha,436158,1175,437333,42.63
3,SUNIL SOREN,Bharatiya Janata Party,483748,1175,484923,47.26
4,SENAPATI MURMU,Communist Party of India,16150,7,16157,1.57
5,STEPHAN BESRA,Bahujan Samaj Party,3262,11,3273,0.32
6,SATISH SOREN,Jharkhand People's Party,1923,3,1926,0.19
7,THAKUROON SOREN,Independent,5569,2,5571,0.54
8,PROBINA MURMU,Independent,2228,2,2230,0.22
9,BAGHRAI SOREN,Independent,2074,1,2075,0.2
10,MOHRIL MURMU,Independent,2211,2,2213,0.22
11,RAMESH TUDU,Independent,2578,1,2579,0.25
12,RASKA SOREN,Independent,5135,0,5135,0.5
13,RAJESH BESRA,Independent,5882,0,5882,0.57
14,DR. SHRILAL KISKU,Independent,16562,0,16562,1.61
15,SAMUEL TUDU,Independent,12609,0,12609,1.23
16,NOTA,None of the Above,14365,31,14396,1.4
,Total, ,1023538,2430,1025968,
