SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Zaffar Obaid,Bahujan Samaj Party,17531,52,17583,1.47
2,Nishikant Dubey,Bharatiya Janata Party,635383,2227,637610,53.4
3,Pradeep Yadav,Jharkhand Vikas Morcha (Prajatantrik),450677,2706,453383,37.97
4,Asha Makade,Pichhara Samaj Party United,6571,9,6580,0.55
5,Noor Hassan,Rashtriya Samta Party (Secular),2302,5,2307,0.19
6,Bajrangi Mahtha,Bahujan Mukti Party,3017,6,3023,0.25
7,Murari Kapri,Aam Adhikar Morcha,2625,2,2627,0.22
8,Anup Kumar Sinha,Independent,2533,1,2534,0.21
9,Jitendra Kumar Barnwal,Independent,2978,4,2982,0.25
10,Madhusudan Ray,Independent,6287,14,6301,0.53
11,Mahesh Kumar Suman,Independent,10352,2,10354,0.87
12,K. Rangaiah,Independent,16453,3,16456,1.38
13,Birendra Kumar,Independent,13610,3,13613,1.14
14,NOTA,None of the Above,18650,33,18683,1.56
,Total, ,1188969,5067,1194036,
