SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARJUN MUNDA,Bharatiya Janata Party,381566,1072,382638,45.97
2,INDUMATI MUNDU,Bahujan Samaj Party,7634,29,7663,0.92
3,KALI CHARAN MUNDA,Indian National Congress,380468,725,381193,45.8
4,AJAY TOPNO,Jharkhand Party,8770,68,8838,1.06
5,ABINASHI MUNDU,Hum Bhartiya Party,2362,11,2373,0.29
6,NEEL JUSTINE BECK,Bharatiya Minorities Suraksha Mahasangh,1850,14,1864,0.22
7,MUNNA BARAIK,Aihra National Party,1863,1,1864,0.22
8,SIBIL KANDULNA,Rashtriya Sangail Party,3888,7,3895,0.47
9,NIYARAN HERENJ,Independent,4559,1,4560,0.55
10,MEENAKSHI MUNDA,Independent,10976,13,10989,1.32
11,SUKHRAM HERENJ,Independent,5254,1,5255,0.63
12,NOTA,None of the Above,21236,9,21245,2.55
,Total, ,830426,1951,832377,
