SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANNPURNA DEVI,Bharatiya Janata Party,751996,1020,753016,62.26
2,KANCHAN KUMARI,All India Trinamool Congress,14082,37,14119,1.17
3,BABU LAL MARANDI,Jharkhand Vikas Morcha (Prajatantrik),297232,184,297416,24.59
4,SARFARAJ AHMAD,Bahujan Samaj Party,6350,9,6359,0.53
5,AJAY KRISHNA,Rashtriya Jansangharsh Swaraj Party,2496,0,2496,0.21
6,AVADHESH KUMAR SINGH,Vishva SHakti Party,3264,1,3265,0.27
7,TUKLAL NAYAK,Hindusthan Nirman Dal,2219,1,2220,0.18
8,DAYANAND KUMAR,Janata Congress,2178,3,2181,0.18
9,BAYAS KUMAR,Moolniwasi Samaj Party,3254,0,3254,0.27
10,RAJ KUMAR YADAV,Communist Party of India (Marxist-Leninist) (Liberation),68184,23,68207,5.64
11,SHIVNATH SAW,All India Forward Bloc,4060,0,4060,0.34
12,PRADIP TURI,Independent,6206,1,6207,0.51
13,MD. MAHBOOB ALAM,Independent,9421,0,9421,0.78
14,RAMESHWAR PRASAD YADAV,Independent,6156,0,6156,0.51
15,NOTA,None of the Above,31156,8,31164,2.58
,Total, ,1208254,1287,1209541,
