SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANJANA BHUIYAN,Bahujan Samaj Party,53452,145,53597,4.43
2,GHURAN RAM,Rashtriya Janata Dal,276967,1086,278053,22.98
3,VISHNU DAYAL RAM,Bharatiya Janata Party,753240,2419,755659,62.46
4,AMINDRA PASWAN,Bhartiya Lok Seva Dal,13039,8,13047,1.08
5,UDAY KUMAR PASWAN,Jan Sangharsh Virat Party,4163,1,4164,0.34
6,UMESH KUMAR PASWAN,Voters Party International,5094,5,5099,0.42
7,PRAYAG RAM,Proutist Sarva Samaj,2774,9,2783,0.23
8,BABAN BHUIYA,Jai Prakash Janata Dal,2857,4,2861,0.24
9,BALKESH PRASAD PASWAN,Ambedkar National Congress,4100,21,4121,0.34
10,MADAN RAM,Communist Party of India (Marxist-Leninist) Red Star,2417,3,2420,0.2
11,SHAYAM NARAYN BHUIAN,Bahujan Mukti Party,3091,2,3093,0.26
12,SUSHMA MEHTA,Communist Party of India (Marxist-Leninist) (Liberation),4996,8,5004,0.41
13,JORAWAR RAM,Independent,7260,7,7267,0.6
14,DINESH RAM,Independent,19490,1,19491,1.61
15,RAM JI PASWAN,Independent,13094,3,13097,1.08
16,VIJAY KUMAR,Independent,13958,3,13961,1.15
17,VIJAY RAM,Independent,4928,1,4929,0.41
18,SHRAWAN KUMAR RAVI,Independent,5850,1,5851,0.48
19,SATYENDRA KUMAR PASWAN,Independent,9437,5,9442,0.78
20,NOTA,None of the Above,5762,46,5808,0.48
,Total, ,1205969,3778,1209747,
