SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GOPIN SOREN,Communist Party of India (Marxist),35577,9,35586,3.4
2,BAIDHNATH PAHADIYA,Bahujan Samaj Party,10360,14,10374,0.99
3,MONIKA KISKU,All India Trinamool Congress,17400,27,17427,1.66
4,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,506589,1241,507830,48.47
5,HEMLAL MURMU,Bharatiya Janata Party,407626,1009,408635,39
6,NEERAJ HEMBROM,All India Forward Bloc,7533,10,7543,0.72
7,MAHASHAY TUDU,Hindusthan Nirman Dal,2767,0,2767,0.26
8,MARY NISHA HANSDAK,Bahujan Mukti Party,2946,2,2948,0.28
9,CHRISTOPHER MURMU,Independent,3002,3,3005,0.29
10,BARNAD HEMBROM,Independent,4254,0,4254,0.41
11,MANGAL MARANDI,Independent,8232,2,8234,0.79
12,MANDAL HANSDA,Independent,12128,2,12130,1.16
13,MAHENDRA HANSDA,Independent,9074,3,9077,0.87
14,MAHESH PAHADIYA,Independent,4926,2,4928,0.47
15,NOTA,None of the Above,12898,21,12919,1.23
,Total, ,1045312,2345,1047657,
