SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GEETA KORA,Indian National Congress,431545,270,431815,49.11
2,PARDESHI LAL MUNDA,Bahujan Samaj Party,9483,8,9491,1.08
3,LAXMAN GILUWA,Bharatiya Janata Party,359159,501,359660,40.9
4,KRISHNA MARDI,Jharkhand Mukti Morcha (Ulgulan),8640,32,8672,0.99
5,CHANDRA MOHAN HEMBROM,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),4095,3,4098,0.47
6,PRATAP SINGH BANARA,Ambedkarite Party of India,11286,12,11298,1.28
7,HARI ORAWN,Kalinga Sena,5645,2,5647,0.64
8,ANIL SOREN,Independent,9151,3,9154,1.04
9,PUSHPA SINKU,Independent,15215,9,15224,1.73
10,NOTA,None of the Above,24261,9,24270,2.76
,Total, ,878480,849,879329,
