SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janata Party,661662,2976,664638,55.17
2,Mahmad Husen Mujawar,Bahujan Samaj Party,6713,30,6743,0.56
3,Veena Kashappanavar,Indian National Congress,495636,815,496451,41.21
4,Parashuram Laxman Neelnaik,Republican Party of India (Karnataka),7481,5,7486,0.62
5,Basanagouda Ramanagouda Meti,Secular Democratic Congress,1009,7,1016,0.08
6,Jamindar Maruti,Karnataka Jantha Paksha,722,3,725,0.06
7,Muttappa Mudakappa Hirekumbi,Raita Bharat Party,811,0,811,0.07
8,Adagal Rajendra,Bahujan Mukti Party,645,0,645,0.05
9,Ramanagoud S Balawad,Hindustan Janta Party,806,0,806,0.07
10,M Shashikumar Hlepadi,Uttama Prajaakeeya Party,1909,3,1912,0.16
11,Pendari Buddesab Makabulsab,Independent,1171,0,1171,0.1
12,Muttu S Surakod (Madar),Independent,2234,3,2237,0.19
13,Ravi Shivappa Padasalagi,Independent,5488,1,5489,0.46
14,Shivarajkumar Ajjappa Talawar,Independent,3154,1,3155,0.26
15,NOTA,None of the Above,11315,13,11328,0.94
,Total, ,1200756,3857,1204613,
