SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ASHWATHNARAYANGOWDA,Bharatiya Janata Party,670483,905,671388,41.4
2,DR CHINNAPPA Y CHIKKAHAGADE,Bahujan Samaj Party,19943,29,19972,1.23
3,D.K. SURESH,Indian National Congress,877712,546,878258,54.15
4,N. KRISHNAPPA,Pyramid Party of India,8123,0,8123,0.5
5,D M MADEGOWDA,Republican Sena,2800,1,2801,0.17
6,MANJUNATHA. M,Uttama Prajaakeeya Party,9882,7,9889,0.61
7,RAMA. T.C,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2092,2,2094,0.13
8,Dr. M VENKATASWAMY,Republican Party of India (A),1460,2,1462,0.09
9,VENKATESHAPPA,Sarva Janata Party,2024,1,2025,0.12
10,ESWARA,Independent,924,0,924,0.06
11,B. GOPAL,Independent,1859,0,1859,0.11
12,H.T. CHIKKARAJU,Independent,1362,0,1362,0.08
13,M.C. DEVARAJU,Independent,2020,0,2020,0.12
14,J.T. PRAKASH,Independent,4785,0,4785,0.3
15,RAGHU JANAGERE,Independent,2487,3,2490,0.15
16,NOTA,None of the Above,12442,12,12454,0.77
,Total, ,1620398,1508,1621906,
