SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,M. K. Pasha,Bahujan Samaj Party,3876,13,3889,0.32
2,P. C. Mohan,Bharatiya Janata Party,601170,1683,602853,50.35
3,Rizwan Arshad,Indian National Congress,531196,689,531885,44.43
4,C.J. Aditya,Independent,2201,0,2201,0.18
5,B. Krishna Prasad,"Proutist Bloc, India",593,2,595,0.05
6,Nawaz Dilber,Karnataka Karmikara Paksha,364,0,364,0.03
7,Mellegatti Shridevi,Uttama Prajaakeeya Party,4264,7,4271,0.36
8,Srinivasan R,Indian Christian Front,653,7,660,0.06
9,Hunsur K. ChandraShekar,Democratic Prajakranthi Party Secularist,428,1,429,0.04
10,Arun Prasad A,Viduthalai Chiruthaigal Katchi,382,0,382,0.03
11,A. Christhuraj,Independent,471,4,475,0.04
12,Kempurajan,Republican Sena,571,2,573,0.05
13,Jenifar J. Russell,Independent,570,1,571,0.05
14,Prakash Raj,Independent,28822,84,28906,2.41
15,Pradeep Mendonca,Independent,1453,1,1454,0.12
16,S. Pandurangan,Independent,1406,1,1407,0.12
17,Francis Binny Jose,Independent,1191,3,1194,0.1
18,Dr. Philip Mariyan,Independent,1416,1,1417,0.12
19,S. Mohan Kumar,Independent,1994,4,1998,0.17
20,Raparti Anil Kumar,Independent,300,0,300,0.03
21,C. B. K. Rama,Independent,282,0,282,0.02
22,Syed Asif Bukhari,Independent,361,7,368,0.03
23,NOTA,None of the Above,10741,19,10760,0.9
,Total, ,1194705,2529,1197234,
