SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,JIGAJINAGI RAMESH CHANDAPPA,Bharatiya Janata Party,633868,1999,635867,57.22
2,PUJARI SHRINATH SANGAPPA,Bahujan Samaj Party,23389,53,23442,2.11
3,DR. SUNITA DEVANAND CHAVAN,Janata Dal (Secular),377342,487,377829,34
4,GURUBASAVA. P . RABAKAVI,Uttama Prajaakeeya Party,8475,4,8479,0.76
5,SHRIVENKATESHWAR MAHA SWAMIJI (KATAKADHOND D.G),Hindustan Janta Party,2643,3,2646,0.24
6,YAMANAPPA VITTAL GUNADAL,Republican Party of India (Karnataka),2952,5,2957,0.27
7,RUDRAPPA DEYAPPA CHALAWADI,Bharipa Bahujan Mahasangh,3215,1,3216,0.29
8,DADASAB SIDDAPPA BAGAYAT,Independent,4186,2,4188,0.38
9,DONDIBA RAMU RATHOD,Independent,4099,3,4102,0.37
10,DHAREPPA MAHADEV ARDHAVAR,Independent,23701,5,23706,2.13
11,BALAJI DYAMANNA WADDAR (YATNAL),Independent,7641,3,7644,0.69
12,RAMAPPA HARIJAN (HOLER),Independent,4990,2,4992,0.45
13,NOTA,None of the Above,12280,6,12286,1.11
,Total, ,1108781,2573,1111354,
