SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Dr. C.S.Dwarakanath,Bahujan Samaj Party,23418,28,23446,1.69
2,B.N.Bache Gowda,Bharatiya Janata Party,744475,1437,745912,53.78
3,S.Varalakshmi,Communist Party of India (Marxist),18639,9,18648,1.34
4,M.Veerappa Moily,Indian National Congress,563396,406,563802,40.65
5,D.Palya Khadar Subhan Khan,Samajwadi Janata Party(Karnataka),4991,0,4991,0.36
6,Nazir Ahmed,Karnataka Karmikara Paksha,1743,0,1743,0.13
7,Nagendra Rao Shinde,Karnataka Jantha Paksha,1288,0,1288,0.09
8,S.R.Nageshareddy,Ambedkar Samaj Party,3549,1,3550,0.26
9,Muniraju.G,Uttama Prajaakeeya Party,5092,1,5093,0.37
10,AbdulKarim Desai,Independent,832,0,832,0.06
11,Alanguru Kanakalakshmi,Independent,1018,2,1020,0.07
12,Nasrulla,Independent,1362,0,1362,0.1
13,Nalina.K.S,Independent,3518,0,3518,0.25
14,L. Nagaraj,Independent,1655,0,1655,0.12
15,Phaniraj.S.V,Independent,2078,0,2078,0.15
16,NOTA,None of the Above,8015,10,8025,0.58
,Total, ,1385069,1894,1386963,
