SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,641232,3785,645017,52.98
2,PRAKASH BABANNA HUKKERI,Indian National Congress,524871,1269,526140,43.21
3,MACHENDRA DAVALU KADAPURE,Bahujan Samaj Party,15508,67,15575,1.28
4,APPASAHEB SHRIPATI KURANE,Bharipa Bahujan Mahasangh,2742,13,2755,0.23
5,PRAVEENKUMAR BALIGATTI,Uttama Prajaakeeya Party,1530,16,1546,0.13
6,MAGDUM ISMAILMAGDUM,Republican Party of India,1050,9,1059,0.09
7,KALLAPPA GUDASI,Independent,4941,7,4948,0.41
8,JITENDRA SUBHASH NERLE,Independent,1719,7,1726,0.14
9,MOHAN GURAPPA MOTANNAVAR,Independent,1482,5,1487,0.12
10,WAJANTRI VISHWNATH KALLOLI,Independent,2023,5,2028,0.17
11,SHRINIK ANNASAHEB JANGATE,Independent,4906,0,4906,0.4
12,NOTA,None of the Above,10341,21,10362,0.85
,Total, ,1212345,5204,1217549,
