SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NALIN KUMAR KATEEL,Bharatiya Janata Party,772754,1531,774285,57.57
2,MITHUN M RAI,Indian National Congress,499387,277,499664,37.15
3,S. SATHISH SALIAN,Bahujan Samaj Party,4709,4,4713,0.35
4,MOHAMMED ELIYAS,SOCIAL DEMOCRATIC PARTY OF INDIA,46834,5,46839,3.48
5,VIJAY SHREENIVAS .C,Uttama Prajaakeeya Party,1628,1,1629,0.12
6,SUPREETH KUMAR POOJARY,Hindustan Janta Party,948,0,948,0.07
7,ABDUL HAMEED,Independent,554,0,554,0.04
8,ALEXANDER,Independent,2751,1,2752,0.2
9,DEEPAK RAJESH COELHO,Independent,747,1,748,0.06
10,MOHAMMAD KHALID,Independent,602,0,602,0.04
11,MAXIM PINTO,Independent,908,0,908,0.07
12,VENKATESH BENDE,Independent,1702,0,1702,0.13
13,H. SURESH POOJARY,Independent,2314,1,2315,0.17
14,NOTA,None of the Above,7375,5,7380,0.55
,Total, ,1343213,1826,1345039,
