SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,H B MANJAPPA,Indian National Congress,482683,611,483294,40.46
2,SIDDAPPA B H,Bahujan Samaj Party,7723,13,7736,0.65
3,G M SIDDESHWAR,Bharatiya Janata Party,651353,1643,652996,54.66
4,H ESHWARAPPA,India Praja Bandhu Party,4623,2,4625,0.39
5,GANESHA B A,Uttama Prajaakeeya Party,3213,7,3220,0.27
6,MADHU THOGALERI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1258,0,1258,0.11
7,RAVINDRA NAVALE,Indian Labour Party (Ambedkar Phule),822,0,822,0.07
8,S K AFZALKHAN,Independent,803,0,803,0.07
9,ABDUL NAZEER SAB,Independent,987,0,987,0.08
10,MOHAMMED ALEEMULLA,Independent,1172,1,1173,0.1
11,ALUR M G SWAMY,Independent,898,0,898,0.08
12,V IQBAL AHEMAD,Independent,1038,0,1038,0.09
13,B V TIPPESWAMY GOSHALE,Independent,1612,0,1612,0.13
14,A T DADAKHALANDAR,Independent,2723,0,2723,0.23
15,BARKATH ALI,Independent,1505,0,1505,0.13
16,MOHAMED HAYATH,Independent,4953,1,4954,0.41
17,MANJUNATHA MARIKOPPA,Independent,5947,0,5947,0.5
18,C M MANJUNATHA SWAMI,Independent,4488,2,4490,0.38
19,V MANJUNATHACHAR,Independent,4568,3,4571,0.38
20,M B VEERABHADRAPPA,Independent,1733,0,1733,0.15
21,SHASHIKUMAR R N,Independent,1097,3,1100,0.09
22,Dr|| SRIDHARA UDUPA,Independent,613,0,613,0.05
23,S S SUBHAN KHAN,Independent,851,0,851,0.07
24,SYED. ZABIULLA K,Independent,978,0,978,0.08
25,HARISH HALLI,Independent,1561,0,1561,0.13
26,NOTA,None of the Above,3091,7,3098,0.26
,Total, ,1192293,2293,1194586,
