SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Irappa Madar,Bahujan Samaj Party,6322,22,6344,0.52
2,Pralhad Joshi,Bharatiya Janata Party,682557,2280,684837,56.43
3,Vinay Kulkarni,Indian National Congress,479119,646,479765,39.54
4,Gangadhar Badiger,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),4750,5,4755,0.39
5,Vadiraj Mannari Madhusudhan (Pandurangi),All India Hindustan Congress Party,1186,3,1189,0.1
6,Raju Harishchandra Kamble,Azad Mazdoor Kissan Party,826,3,829,0.07
7,Revanshiddappa Basavaraj Talawar,Bharatiya Prajagala Kalyana Paksha,707,4,711,0.06
8,Vinod D Ghodke,"Proutist Bloc, India",725,0,725,0.06
9,Santosh Nandur,Uttama Prajaakeeya Party,1564,2,1566,0.13
10,Dundasi Abdulrahiman Mahammad Hanif,Independent,904,1,905,0.07
11,Udayakumar Ayyappa Ambiger,Independent,896,3,899,0.07
12,B. G. Sangannavar,Independent,1093,0,1093,0.09
13,Makhtum khan. Hasanalikhan Sirdesai,Independent,1739,1,1740,0.14
14,Mallikarjunagouda Giriyappagouda Balanagoudra,Independent,4457,1,4458,0.37
15,Raju. Anantsa. Naikwadi,Independent,4425,1,4426,0.36
16,Maradagi Veerappa Gurushantappa,Independent,4081,0,4081,0.34
17,Shakeel Ahmad Abdulsattar Dodwad,Independent,1894,1,1895,0.16
18,Somashekhar. Peeraji. Yadav.,Independent,5400,0,5400,0.44
19,Hashinabanu Tapalvale,Independent,4370,5,4375,0.36
20,NOTA,None of the Above,3503,9,3512,0.29
,Total, ,1210518,2987,1213505,
