SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR. UMESH G JADHAV,Bharatiya Janata Party,617692,2500,620192,52.14
2,MALLIKARJUN KHARGE,Indian National Congress,523552,1188,524740,44.12
3,K. B. VASU,Bahujan Samaj Party,10852,13,10865,0.91
4,D. K. KONKATE KEROOR,Rashtriya Samaj Paksha,1485,0,1485,0.12
5,RAJKUMAR,BhartiyaBahujanKranti Dal,950,1,951,0.08
6,MAHESH LAMBANI,Uttama Prajaakeeya Party,1780,3,1783,0.15
7,VIJAY JADHAV,Sarva Janata Party,6507,0,6507,0.55
8,S. M. SHARMA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2247,2,2249,0.19
9,SHANKAR JADHAV,Bharatiya Peoples Party,1647,2,1649,0.14
10,G. TIMMARAJU,Independent,1361,0,1361,0.11
11,DR. M. P. DARAKESHWARAIAH,Independent,2035,1,2036,0.17
12,RAMESH BHEEMSINGH CHAVAN,Independent,5055,1,5056,0.43
13,NOTA,None of the Above,10482,5,10487,0.88
,Total, ,1185645,3716,1189361,
