SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AYUBAKHAN A PATHAN,Bahujan Samaj Party,7458,21,7479,0.59
2,D.R. PATIL,Indian National Congress,541969,809,542778,42.85
3,UDASI. S.C.,Bharatiya Janata Party,681147,2513,683660,53.97
4,ISHWAR PATIL,Uttama Prajaakeeya Party,7010,14,7024,0.55
5,SHYLESH NAZARE ASHOK,Indian Labour Party (Ambedkar Phule),1243,1,1244,0.1
6,BASAVARAJ. S. DESAI,Independent,1301,4,1305,0.1
7,BOMMOJI. RAMAPPA. SIDDAPPA,Independent,1387,2,1389,0.11
8,VEERABHADRAPPA VEERAPPA KABBINADA URF BANDI,Independent,2281,2,2283,0.18
9,SIDDAPPA. KALLAPPA. POOJAR,Independent,5856,2,5858,0.46
10,HANUMANTHAPPA.D.KABBAR,Independent,6242,5,6247,0.49
11,NOTA,None of the Above,7402,10,7412,0.59
,Total, ,1263296,3383,1266679,
