SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,K.RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,547573,813,548386,46.07
2,SHIVAPUTRAPPA. GUMAGERA,Bahujan Samaj Party,9469,12,9481,0.8
3,KARADI SANGANNA AMARAPPA,Bharatiya Janata Party,584997,1786,586783,49.3
4,ANNOJIRAO.G,Sarva Janata Party,5679,2,5681,0.48
5,COMRADE B.BASAVALINGAPPA,Marxist Leninist Party of India (Red Flag),1609,0,1609,0.14
6,BANDIMATH SHARANAYYA,Uttama Prajaakeeya Party,2244,8,2252,0.19
7,HEMARAJ VEERAPUR,Communist Party of India (Marxist-Leninist) Red Star,1058,1,1059,0.09
8,PA.YA. GANESH,Independent,1699,0,1699,0.14
9,NAGARAJ KALAL,Independent,4855,0,4855,0.41
10,BALARAJ. YADAV,Independent,2937,0,2937,0.25
11,MALLIKARJUN HADAPAD,Independent,2407,1,2408,0.2
12,SATISHREDDY,Independent,3498,0,3498,0.29
13,SURESH GOUDA MUNDINAMANE,Independent,5157,1,5158,0.43
14,SURESH.H,Independent,3728,0,3728,0.31
15,NOTA,None of the Above,10800,13,10813,0.91
,Total, ,1187710,2637,1190347,
