SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GUDDAPPA,Bahujan Samaj Party,7339,11,7350,0.57
2,S.MADHUBANGARAPPA,Janata Dal (Secular),506212,300,506512,39.46
3,B.Y.RAGHAVENDRA.,Bharatiya Janata Party,728902,970,729872,56.86
4,KRISHNA.K.,Pyramid Party of India,5652,1,5653,0.44
5,VENKATESH.R,Uttama Prajaakeeya Party,4082,5,4087,0.32
6,S.UMESHAPPA,Independent,1521,0,1521,0.12
7,S.UMESHA VARMA,Independent,4464,1,4465,0.35
8,MOHAMMED YUSUF KHAN,Independent,1578,1,1579,0.12
9,N.T.VIJAYAKUMAR,Independent,1578,0,1578,0.12
10,K.C.VINAY RAJAVATH,Independent,3315,2,3317,0.26
11,SHASHIKUMAR.S.GOWDA,Independent,6845,0,6845,0.53
12,SHEKARA NAIK,Independent,3929,1,3930,0.31
13,NOTA,None of the Above,6862,6,6868,0.54
,Total, ,1282279,1298,1283577,
