SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANANTKUMAR HEGDE,Bharatiya Janata Party,783211,2831,786042,68.15
2,ANAND ASNOTIKAR,Janata Dal (Secular),306130,263,306393,26.56
3,SUDHAKAR KIRA JOGALEKAR,Bahujan Samaj Party,7155,40,7195,0.62
4,NAGARAJ NAIK,Rashtriya Samaj Paksha,3371,7,3378,0.29
5,NAGRAJ SHRIDHAR SHET,Rashtriya Jansambhavna Party,3124,4,3128,0.27
6,MANJUNATH SADASHIV,Bharat Bhoomi Party,1678,7,1685,0.15
7,SUNIL PAWAR,Uttama Prajaakeeya Party,3721,6,3727,0.32
8,ANITA ASHOK SHET,Independent,2552,16,2568,0.22
9,KUNDABAI GANAPATI PARULEKAR,Independent,2254,7,2261,0.2
10,CHIDANAND HARIJAN,Independent,3134,4,3138,0.27
11,NAGARAJ ANANT SHIRALI,Independent,6249,5,6254,0.54
12,BALAKRISHNA ARJUN PATIL,Independent,4203,3,4206,0.36
13,MOHAMMED ZABROOD KHATEEB,Independent,7482,6,7488,0.65
14,NOTA,None of the Above,15997,20,16017,1.39
,Total, ,1150261,3219,1153480,
