SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Adv. A M ARIFF,Communist Party of India (Marxist),443003,2967,445970,40.96
2,Adv. PRASANTHBHIM,Bahujan Samaj Party,2411,20,2431,0.22
3,Dr. K. S. RADHAKRISHNAN,Bharatiya Janata Party,186278,1451,187729,17.24
4,Adv. SHANIMOL OSMAN,Indian National Congress,433790,1706,435496,40
5,A. AKHILESH,Ambedkarite Party of India,1777,5,1782,0.16
6,R. PARTHASARATHY VARMA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1125,8,1133,0.1
7,VARKALA RAJ,Peoples Democratic Party,1688,1,1689,0.16
8,K. S. SHAN,SOCIAL DEMOCRATIC PARTY OF INDIA,3593,2,3595,0.33
9,THAHIR,Independent,569,2,571,0.05
10,VAYALAR RAJEEVAN,Independent,695,1,696,0.06
11,SATHEESH SHENOI,Independent,780,3,783,0.07
12,SANTHOSH THURAVOOR,Independent,748,1,749,0.07
13,NOTA,None of the Above,6065,39,6104,0.56
,Total, ,1082522,6206,1088728,
