SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Adv. ADOOR PRAKASH,Indian National Congress,379469,1526,380995,37.91
2,VIPINLAL PALODE,Bahujan Samaj Party,4052,16,4068,0.4
3,SOBHASURENDRAN,Bharatiya Janata Party,246502,1579,248081,24.69
4,Dr. A. SAMPATH,Communist Party of India (Marxist),340298,2450,342748,34.11
5,AJAMAL ISMAIL,SOCIAL DEMOCRATIC PARTY OF INDIA,5428,1,5429,0.54
6,ATTINGAL AJITH KUMAR,Independent,779,2,781,0.08
7,ANITHA,Independent,432,4,436,0.04
8,B DEVADATHAN,Independent,268,0,268,0.03
9,PRAKASH S KARIKKATTUVILA,Independent,354,1,355,0.04
10,PRAKASH G VEENA BHAVAN,Independent,402,0,402,0.04
11,MANOJ M POOVAKKADU,Independent,1003,1,1004,0.1
12,MAHEEN THEVARUPARA,Independent,1084,0,1084,0.11
13,K.G. MOHANAN,Independent,1143,3,1146,0.11
14,K. VIVEKANANDHAN,Independent,668,0,668,0.07
15,SHAILAJA NAVAIKULAM,Independent,2143,3,2146,0.21
16,SATHEESH KUMAR,Independent,2179,0,2179,0.22
17,SUNIL SOMAN,Independent,5433,0,5433,0.54
18,IRINJAYAM SURESH,Independent,409,3,412,0.04
19,RAMSAGAR. P,Independent,1568,0,1568,0.16
20,NOTA,None of the Above,5644,41,5685,0.57
,Total, ,999258,5630,1004888,
