SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,INNOCENT,Communist Party of India (Marxist),340581,589,341170,34.45
2,JOHNSON N,Bahujan Samaj Party,2128,3,2131,0.22
3,BENNY BEHANAN,Indian National Congress,472935,509,473444,47.81
4,A N RADHAKRISHNAN,Bharatiya Janata Party,153934,225,154159,15.57
5,JOSE THOMAS,Marxist Communist Party of India (United),871,0,871,0.09
6,MUJEEB RAHMAN T A,Peoples Democratic Party,1467,0,1467,0.15
7,P P MOIDEEN KUNJU,SOCIAL DEMOCRATIC PARTY OF INDIA,4685,2,4687,0.47
8,ADV SUJA ANTONY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),929,1,930,0.09
9,JOHNSON K C,Independent,354,1,355,0.04
10,NOBY AUGUSTINE,Independent,318,0,318,0.03
11,FREDY JACKSON PEREIRA,Independent,681,1,682,0.07
12,M R SATHYADEVAN,Independent,1432,0,1432,0.14
13,SUBRAMANIAN,Independent,1000,0,1000,0.1
14,NOTA,None of the Above,7568,10,7578,0.77
,Total, ,988883,1341,990224,
