SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Adv. DEAN KURIAKOSE,Indian National Congress,497697,796,498493,54.23
2,LEETHESH P. T.,Bahujan Samaj Party,2886,20,2906,0.32
3,BIJU KRISHNAN,Bharath Dharma Jana Sena,78504,144,78648,8.56
4,M. SELVARAJ,Viduthalai Chiruthaigal Katchi,1624,4,1628,0.18
5,GOMATHY,Independent,1981,4,1985,0.22
6,"Adv, JOICE GEORGE",Independent,326701,739,327440,35.62
7,BABY K. A.,Independent,1554,2,1556,0.17
8,REJI NJALLANI,Independent,1324,0,1324,0.14
9,NOTA,None of the Above,5297,20,5317,0.58
,Total, ,917568,1729,919297,
