SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,C. K. PADMANABHAN,Bharatiya Janata Party,67620,889,68509,6.5
2,P. K. SREEMATHI TEACHER,Communist Party of India (Marxist),432282,2900,435182,41.29
3,K. SUDHAKARAN,Indian National Congress,527685,2056,529741,50.27
4,Adv. R. APARNA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2128,34,2162,0.21
5,K.K. ABDUL JABBAR,SOCIAL DEMOCRATIC PARTY OF INDIA,8139,3,8142,0.77
6,KURIAKOSE,Secular Democratic Congress,260,0,260,0.02
7,PRAVEEN ARIMBRATHODIYIL,Independent,318,0,318,0.03
8,RADHAMANI NARAYANAKUMAR,Independent,284,2,286,0.03
9,"K. SREEMATHI, W/o SUDEEP KUMAR C. V",Independent,576,5,581,0.06
10,"P. SREEMATHI, W/o RAVEENDRAN",Independent,795,1,796,0.08
11,"K. SUDHAKARAN, S/o KUNHIRAMAN",Independent,726,0,726,0.07
12,"K. SUDHAKARAN, S/o KRISHNAN",Independent,2249,0,2249,0.21
13,"SUDHAKARAN P. K, S/o KRISHNAPILLA",Independent,1062,0,1062,0.1
14,NOTA,None of the Above,3801,27,3828,0.36
,Total, ,1047925,5917,1053842,
