SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Unnikrishnan,Bharatiya Janata Party,82087,245,82332,7.96
2,P.K. Kunhalikutty,Indian Union Muslim League,589153,720,589873,57.01
3,Adv. Praveen Kumar,Bahujan Samaj Party,2287,7,2294,0.22
4,V.P. Sanu,Communist Party of India (Marxist),329103,617,329720,31.87
5,Abdul Majeed Faizy,SOCIAL DEMOCRATIC PARTY OF INDIA,19095,11,19106,1.85
6,Abdul Salam K.P,Independent,923,0,923,0.09
7,Nissar Methar,Independent,3685,2,3687,0.36
8,Sanu N.K,Independent,2200,3,2203,0.21
9,NOTA,None of the Above,4464,16,4480,0.43
,Total, ,1032997,1621,1034618,
