SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KODIKUNNIL SURESH,Indian National Congress,437997,2418,440415,45.36
2,CHITTAYAM GOPAKUMAR,Communist Party of India,376497,2780,379277,39.06
3,THOLLUR RAJAGOPALAN,Bahujan Samaj Party,3755,109,3864,0.4
4,K. BIMALJI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1432,18,1450,0.15
5,THAZHAVA SAHADEVAN,Bharath Dharma Jana Sena,132323,1223,133546,13.75
6,AJAYAKUMAR,Independent,1172,39,1211,0.12
7,AJI PATHANAPURAM,Independent,587,15,602,0.06
8,USHA KOTTARAKKARA,Independent,1577,43,1620,0.17
9,KUTTAN KATTACHIRA,Independent,1970,12,1982,0.2
10,RAGHAVAN R,Independent,1310,4,1314,0.14
11,NOTA,None of the Above,5669,85,5754,0.59
,Total, ,964289,6746,971035,
