SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KRISHNAKUMAR C,Bharatiya Janata Party,217747,809,218556,21.26
2,M B RAJESH,Communist Party of India (Marxist),386773,864,387637,37.7
3,V K SREEKANDAN,Indian National Congress,398714,560,399274,38.83
4,HARI ARUMBIL,Bahujan Samaj Party,2400,8,2408,0.23
5,THULASEEDHARAN PALLICKAL,SOCIAL DEMOCRATIC PARTY OF INDIA,5746,3,5749,0.56
6,C CHANDRAN,Independent,2623,1,2624,0.26
7,BALAKRISHNAN,Independent,973,1,974,0.09
8,RAJESH PALOLAM,Independent,2233,1,2234,0.22
9,RAJESH S/O MANI,Independent,2128,0,2128,0.21
10,NOTA,None of the Above,6646,19,6665,0.65
,Total, ,1025983,2266,1028249,
