SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANTO ANTONY,Indian National Congress,380089,838,380927,37.11
2,VEENA GEORGE,Communist Party of India (Marxist),335476,1208,336684,32.8
3,SHIBU PARAKKADAVAN,Bahujan Samaj Party,3803,11,3814,0.37
4,K SURENDRAN,Bharatiya Janata Party,295627,1769,297396,28.97
5,JOSE GEORGE,Ambedkarite Party of India,1353,2,1355,0.13
6,BINU BABY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),620,2,622,0.06
7,RATHEESH CHOORAKODU,Independent,591,3,594,0.06
8,VEENA V,Independent,1800,9,1809,0.18
9,NOTA,None of the Above,3334,18,3352,0.33
,Total, ,1022693,3860,1026553,
