SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,E. T. Mohammed Basheer,Indian Union Muslim League,521438,386,521824,51.3
2,Rema,Bharatiya Janata Party,110430,173,110603,10.87
3,Adv. K.C. Nazeer,SOCIAL DEMOCRATIC PARTY OF INDIA,18114,10,18124,1.78
4,Anwar P.V. Alumkuzhi,Independent,1781,3,1784,0.18
5,P.V. Anvar Puthan Veetil,Independent,328208,343,328551,32.3
6,Anvar P.V. Raseena Manzil,Independent,3109,0,3109,0.31
7,Bindu,Independent,664,0,664,0.07
8,Muhammed Basheer Koyissery,Independent,692,1,693,0.07
9,Muhammed Basheer Nechiyan,Independent,1315,0,1315,0.13
10,Muhammed Basheer Mangalassery,Independent,1957,0,1957,0.19
11,Sameera PA,Independent,16288,0,16288,1.6
12,Poonthura Siraj,Independent,6122,0,6122,0.6
13,NOTA,None of the Above,6223,8,6231,0.61
,Total, ,1016341,924,1017265,
