SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KIRAN KUMAR. S.K,Bahujan Samaj Party,2521,14,2535,0.25
2,KUMMANAM RAJASEKHARAN,Bharatiya Janata Party,313925,2217,316142,31.3
3,C. DIVAKARAN,Communist Party of India,256470,2086,258556,25.6
4,Dr. SHASHI THAROOR,Indian National Congress,414057,2074,416131,41.19
5,PANDALAM KERALAVARMARAJA,Pravasi Nivasi Party,1692,3,1695,0.17
6,S MINI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),651,13,664,0.07
7,CHRISTOPHER SHAJU PALIYODE,Independent,344,1,345,0.03
8,GOPAKUMAR OORUPOIKA,Independent,338,1,339,0.03
9,JAIN WILSON,Independent,197,2,199,0.02
10,JOHNY THAMPY,Independent,265,2,267,0.03
11,B. DEVADATHAN,Independent,257,1,258,0.03
12,BINU. D,Independent,602,2,604,0.06
13,MITHRA KUMAR G,Independent,3521,0,3521,0.35
14,VISHNU S AMBADI,Independent,1822,0,1822,0.18
15,T SASI,Independent,1005,2,1007,0.1
16,M.S SUBI,Independent,1050,0,1050,0.1
17,NANDHAVANAM SUSEELAN,Independent,465,0,465,0.05
18,NOTA,None of the Above,4553,27,4580,0.45
,Total, ,1003735,6445,1010180,
