SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NIKHIL CHANDRASEKHARAN,Bahujan Samaj Party,2548,3,2551,0.24
2,T. N. PRATHAPAN,Indian National Congress,414541,548,415089,39.84
3,RAJAJI MATHEW THOMAS,Communist Party of India,320887,569,321456,30.85
4,SURESH GOPI,Bharatiya Janata Party,293405,417,293822,28.2
5,N. D. VENU,Communist Party of India (Marxist-Leninist) Red Star,1328,2,1330,0.13
6,PRAVEEN K. P.,Independent,1105,0,1105,0.11
7,SUVITH,Independent,1132,1,1133,0.11
8,SONU,Independent,1129,1,1130,0.11
9,NOTA,None of the Above,4243,10,4253,0.41
,Total, ,1040318,1551,1041869,
