SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KANKAR MUNJARE,Bahujan Samaj Party,84996,181,85177,6.21
2,ALI .M R. KHAN,Communist Party of India,9678,7,9685,0.71
3,DR DHAL SINGH BISEN,Bharatiya Janata Party,692859,3243,696102,50.74
4,MADHU BHAGAT,Indian National Congress,452594,1442,454036,33.09
5,ABHISHEK BILHORE,Bhartiya Shakti Chetna Party,5920,2,5922,0.43
6,KARAN SINGH NAAGPURE,Bahujan Mukti Party,2436,4,2440,0.18
7,JAISINGH TEKAM,Gondvana Gantantra Party,8625,86,8711,0.63
8,MUKESH BANSOD,Ambedkarite Party of India,4073,3,4076,0.3
9,YUVRAJ SINGH BAIS,"Proutist Bloc, India",1890,0,1890,0.14
10,RAJAN MASIH,Bharat Prabhat Party,2016,6,2022,0.15
11,BABOO RAJENDRA DHOKE,Peoples Party of India (Democratic),4171,1,4172,0.3
12,SATISH TIWARI,Bhartiya Lokmat Rashtrwadi Party,3433,2,3435,0.25
13,ADVOCATE SATYAPRAKASH SHULKE (LODHI),Madhya Pradesh Jan Vikas Party,5882,0,5882,0.43
14,KISHOR SAMRITE,Independent,7361,4,7365,0.54
15,GLG TANDEKAR,Independent,4504,0,4504,0.33
16,NARAYAN BANJARE,Independent,8463,0,8463,0.62
17,PITAM BORKAR,Independent,2740,0,2740,0.2
18,BODHSINGH BHAGAT,Independent,47105,115,47220,3.44
19,MAKBOOL SHAH,Independent,4787,0,4787,0.35
20,SHRIMATI MANISHA VAID,Independent,3804,5,3809,0.28
21,MEERSHYAM LILHARE LODHI,Independent,2319,1,2320,0.17
22,RAKESH KUMAR,Independent,1505,0,1505,0.11
23,RUPLAL KUTRAHE (SAMAJ SEVAK ) LODHI,Independent,1513,0,1513,0.11
24,NOTA,None of the Above,4211,31,4242,0.31
,Total, ,1366885,5133,1372018,
