SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DEVASHISH,Indian National Congress,327177,632,327809,34.12
2,BABU RAM JAMOR,Bahujan Samaj Party,66345,268,66613,6.93
3,SANDHYA RAY,Bharatiya Janata Party,522990,4704,527694,54.93
4,OM PRAKASH SHAKYA,Hindusthan Nirman Dal,5726,9,5735,0.6
5,KISHORI LAL SHAKYA,Bahujan Mukti Party,1710,6,1716,0.18
6,DILEEP KUMAR DOHARE (ADVOCAT),Ambedkarite Party of India,2918,11,2929,0.3
7,MADAN CHHILWAR,Pragatishil Samajwadi Party (Lohia),1086,11,1097,0.11
8,MANOHAR LAL PATWA (LALU KORI),Jan Adhikar Party,971,7,978,0.1
9,ROOP SINGH,Bharat Prabhat Party,810,6,816,0.08
10,VIJAY SINGH PATWA,All India Forward Bloc,1080,2,1082,0.11
11,ASHOK SINGH,Independent,1156,5,1161,0.12
12,UMESH GARG,Independent,2177,4,2181,0.23
13,JITENDRA SINGH,Independent,1541,6,1547,0.16
14,DHARM SINGH BHARGAV,Independent,2437,1,2438,0.25
15,BRIKHBHAN DOHARE,Independent,1897,0,1897,0.2
16,RAJESH KUMAR JATAV,Independent,4991,2,4993,0.52
17,RAM NARESH JATAV,Independent,3642,3,3645,0.38
18,HARKISOR KORI,Independent,1723,3,1726,0.18
19,NOTA,None of the Above,4582,48,4630,0.48
,Total, ,954959,5728,960687,
