SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DIGVIJAYA SINGH,Indian National Congress,501279,381,501660,35.63
2,SADHVI PRAGYA SINGH THAKUR,Bharatiya Janata Party,865212,1270,866482,61.54
3,MADHO SINGH AHIRWAR,Bahujan Samaj Party,11250,27,11277,0.8
4,ABDUL TAHIR ANSARI (BABLU) ADVOCATE PATRKAR AND SAMAJSEWAK,Swarnim Bharat Inquilab,526,1,527,0.04
5,MD. IQBAL KHAN,Smart Indians Party,844,0,844,0.06
6,KAMLESH DANGI THAKUR,Hindusthan Nirman Dal,685,1,686,0.05
7,GAUTAM NAGDAVANE,Ambedkarite Party of India,855,1,856,0.06
8,PIYUSH JAIN,Right to Recall Party,483,1,484,0.03
9,PRABHA BHARTI,Jai Lok Party,469,4,473,0.03
10,CA PRAMOD BHOJWANI,Sanatan Sanskriti Raksha Dal,571,1,572,0.04
11,J.C. BARAI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),479,0,479,0.03
12,BAL RAM SINGH TOMAR,Bhartiya Shakti Chetna Party,495,2,497,0.04
13,BHAURAO VITHOBA FULZELE,Bharat Prabhat Party,538,0,538,0.04
14,RAJ KUMAR SHAKYA (KORI),Jan Adhikar Party,882,1,883,0.06
15,RAJESH KEER,Bahujan Mukti Party,1439,0,1439,0.1
16,RAMSUSHIL SHARMA E/X/ C.R.P.F.,Samagra Utthan Party,2819,0,2819,0.2
17,LATA SURYAWANSHI,Samta Vikas Party,2687,1,2688,0.19
18,DR. VEENA GHANEKAR Rtd. IAS,Sapaks Party,3261,3,3264,0.23
19,SHRIMATI HEMLATA PATHAK,Sarvadharam Party (Madhya Pradesh),416,2,418,0.03
20,MOH. ATEEK,Independent,330,1,331,0.02
21,ALOK KUMAR,Independent,215,0,215,0.02
22,KAMLESH NAMDEV,Independent,286,0,286,0.02
23,DEVENDRA PRAKASH MISHRA,Independent,854,0,854,0.06
24,PRAVEEN SINGH THAKUR (PRAVEENA THAKUR),Independent,456,0,456,0.03
25,PRIYANKA KHARE,Independent,276,2,278,0.02
26,MAHENDRA-KATIYAR,Independent,265,0,265,0.02
27,MAHENDRA KUMAR,Independent,365,0,365,0.03
28,MUKESH KUMAR GUPTA,Independent,485,0,485,0.03
29,DESHMUKH RIYAZUDDIN GHAYASUDDIN,Independent,1251,0,1251,0.09
30,SUNIL KUMAR DODEJA,Independent,850,2,852,0.06
31,NOTA,None of the Above,5413,17,5430,0.39
,Total, ,1406236,1718,1407954,
