SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,"KRISHNA PAL SINGH ""Dr. K. P. YADAV""",Bharatiya Janata Party,610855,3194,614049,52.11
2,JYOTIRADITYA M. SCINDIA,Indian National Congress,486105,2395,488500,41.45
3,DHAKAD LOKENDRA SINGH RAJPOOT,Bahujan Samaj Party,37381,149,37530,3.18
4,AMIT KHARE,Ambedkarite Party of India,4479,1,4480,0.38
5,MANISH SHRIVASTAV,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1652,15,1667,0.14
6,REKHA BAI,Aajad Bharat Party (Democratic),1517,2,1519,0.13
7,SANTOSH YADAV,Pragatishil Samajwadi Party (Lohia),1038,4,1042,0.09
8,AJAY SINGH KUSHWAH,Independent,1422,1,1423,0.12
9,CHANDR KUMAR SHRIVASTAVA (CHANDU),Independent,1945,0,1945,0.17
10,BHAN SINGH,Independent,1720,3,1723,0.15
11,BHOOPENDRA SINGH CHAUHAN (BABLU RAJA),Independent,2471,0,2471,0.21
12,O. P. BHEYA,Independent,3552,1,3553,0.3
13,HARBHAJAN SINGH RAJPOOT Ad.,Independent,6118,0,6118,0.52
14,NOTA,None of the Above,12372,31,12403,1.05
,Total, ,1172627,5796,1178423,
