SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,UDAY PRATAP SINGH,Bharatiya Janata Party,876911,1016,877927,69.35
2,M.P. CHOUDHARY,Bahujan Samaj Party,15336,28,15364,1.21
3,SHAILENDRA DIWAN CHANDARBHAN SINGH,Indian National Congress,324139,106,324245,25.61
4,DINESH KATARE,Ambedkarite Party of India,7829,4,7833,0.62
5,DEVENDRA SHARMA,Sapaks Party,1874,0,1874,0.15
6,BHAVANI SHANKAR SAINI (MONU SAINI),Pragatishil Samajwadi Party (Lohia),1269,2,1271,0.1
7,RAJESH KUMAR UIKEY,Gondvana Gantantra Party,3412,25,3437,0.27
8,ARYA RAVI PARIHAR,Independent,1803,2,1805,0.14
9,DIWAN SHAILENDRA,Independent,3424,2,3426,0.27
10,MADAN MOHAN,Independent,5436,1,5437,0.43
11,SHALIGRAM MAKODIYA,Independent,4836,1,4837,0.38
12,NOTA,None of the Above,18410,3,18413,1.45
,Total, ,1264679,1190,1265869,
