SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,MAHARANI KAVITA SINGH NATIRAJA,Indian National Congress,318526,227,318753,25.34
2,V.D. SHARMA (VISHNU DATT SHARMA),Bharatiya Janata Party,810410,725,811135,64.49
3,ASHWANI KUMAR DUBEY,Sarvodaya Bharat Party,10552,2,10554,0.84
4,JAGDESH KUMAR PATEL,Akhil Bhartiya Apna Dal,4222,1,4223,0.34
5,DESH PAL PATEL,Ambedkarite Party of India,5881,3,5884,0.47
6,MANISH MISHRA,Rashtriya Aadarsh Member Party,1964,1,1965,0.16
7,ADVOCATE RAKESH KUMAR SHUKLA,All India Forward Bloc,2154,0,2154,0.17
8,VEER SINGH PATEL,Samajwadi Party,40029,48,40077,3.19
9,SANT KUMAR SHARMA,Samagra Utthan Party,2481,0,2481,0.2
10,ABDUL IMRAN,Independent,3304,1,3305,0.26
11,GIRIRAJ KISHOR (RAJU) PODDAR,Independent,2953,0,2953,0.23
12,NARENDRA PANDEY (RAM JI),Independent,2942,0,2942,0.23
13,PARWAT SINGH,Independent,3970,0,3970,0.32
14,BHOOPAT KUMAR ADIWASI,Independent,6999,0,6999,0.56
15,MEENA/LALIT RAIKWAR,Independent,12450,0,12450,0.99
16,RAJKUMAR,Independent,11691,0,11691,0.93
17,VINOD KUMAR,Independent,5941,0,5941,0.47
18,NOTA,None of the Above,10301,5,10306,0.82
,Total, ,1256770,1013,1257783,
