SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARUN SUBHASH CHANDRA YADAV,Indian National Congress,564761,805,565566,38.52
2,DAYARAM KORKU (THAKUR DADA),Bahujan Samaj Party,14852,36,14888,1.01
3,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),Bharatiya Janata Party,837969,940,838909,57.14
4,AAKASH BIRLA,Madhya Pradesh Jan Vikas Party,7756,3,7759,0.53
5,KISHOR YADAV,Hindusthan Nirman Dal,1721,0,1721,0.12
6,DARASINGH PATEL KHATVASHE,Akhil Bhartiya Gondwana Party,1269,1,1270,0.09
7,REENA DAMLE,Peoples Party of India (Democratic),3293,0,3293,0.22
8,RUKUM SHAH,All India Ulama Congress,4024,0,4024,0.27
9,NARAYAN CHANDEL,Independent,2886,0,2886,0.2
10,BABA ABDUL HAMEED,Independent,7221,0,7221,0.49
11,BHAGWANSINGH PYARSINGH,Independent,4596,0,4596,0.31
12,NOTA,None of the Above,15993,12,16005,1.09
,Total, ,1466341,1797,1468138,
