SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KAMAL SINGH MARAVI,Indian National Congress,638372,1220,639592,42.15
2,FAGGAN SINGH KULASTE,Bharatiya Janata Party,735365,1901,737266,48.59
3,CHANDRA SINGH KUSHRAM,Bhartiya Shakti Chetna Party,15707,2,15709,1.04
4,R. S. PARASTE (RAMSINGH),Sapaks Party,5053,2,5055,0.33
5,MANITA MARKAM,Smart Indians Party,5225,3,5228,0.34
6,DADA RAMGULAM UIKEY,Gondvana Gantantra Party,48782,143,48925,3.22
7,SANJEEV KUMAR PANDRAM,Hindusthan Nirman Dal,4646,1,4647,0.31
8,AJEET DHURWEY,Independent,5205,3,5208,0.34
9,ADVOCATE-DEVSINGH KUMRE,Independent,7757,2,7759,0.51
10,BHARAT SINGH POOSAM,Independent,15626,0,15626,1.03
11,NOTA,None of the Above,32221,19,32240,2.12
,Total, ,1513959,3296,1517255,
