SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KANTILAL BHURIA,Indian National Congress,604409,1058,605467,43.23
2,GUMAN SINGH DAMOR,Bharatiya Janata Party,694243,1860,696103,49.7
3,MADHU SINGH PATEL(CHOUHAN),Bahujan Samaj Party,13730,23,13753,0.98
4,ADVOCATE-KATARA RUKHAMAN SINGH,Bahujan Mukti Party,3846,4,3850,0.27
5,KAMLESHWAR BHIL,Bhartiya Tribal Party,14704,80,14784,1.06
6,SURAJ BHABHAR,All India Hindustan Congress Party,5583,1,5584,0.4
7,SURAJSINGH KALIYA,Janata Dal (United),6315,5,6320,0.45
8,108 NILESH DAMOR,Independent,6378,0,6378,0.46
9,RANGLA-KALESH,Independent,12837,2,12839,0.92
10,NOTA,None of the Above,35410,21,35431,2.53
,Total, ,1397455,3054,1400509,
