SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GIRIJESH SINGH SENGER,Communist Party of India (Marxist),10401,52,10453,1.03
2,JANARDAN MISHRA,Bharatiya Janata Party,580769,2976,583745,57.61
3,VIKASH SINGH PATEL,Bahujan Samaj Party,91012,114,91126,8.99
4,"SIDDHARTH TIWARI ""RAJ""",Indian National Congress,270519,419,270938,26.74
5,DR. ARUN KUMAR SATNAMI,Bahujan Mukti Party,3754,2,3756,0.37
6,ARUN GAUTAM,Shri Janta Party,1670,2,1672,0.17
7,CHHOTU KOL,Jan Samman party,1150,8,1158,0.11
8,BADRI PRASAD KUSHWAHA,Akhil Bhartiya Apna Dal,2652,4,2656,0.26
9,BABULAL KOL,Adhikar Vikas Party,1321,4,1325,0.13
10,MAHENDRA KUMAR TIWARI,"Kisan Raj Party,",2421,5,2426,0.24
11,RAM GOPAL SINGH PATEL,Peoples Party of India (Democratic),4976,6,4982,0.49
12,REETA TRIPATHI,Bhartiya Shakti Chetna Party,3018,14,3032,0.3
13,SHAKUNTALA MISHRA,Sapaks Party,3715,4,3719,0.37
14,SHIV KUMAR MISHRA,Samagra Utthan Party,3859,1,3860,0.38
15,SIYASHARAN KEVAT,Rashtriya Apna Dal,5694,2,5696,0.56
16,SUNIT PANDEY 'SUMIT',AARAKSHAN VIRODHI PARTY,5553,2,5555,0.55
17,SUBHRANSHU DWIVEDI - PADARI,Kisan Party of India,2582,1,2583,0.25
18,AKHILESH SAKET,Independent,4797,1,4798,0.47
19,DEVENDRA KUMAR MISHRA,Independent,1904,3,1907,0.19
20,BRAHM DATTA MISHRA,Independent,1877,1,1878,0.19
21,RAM KALESH SAKET,Independent,826,2,828,0.08
22,SANAT KUMAR,Independent,865,1,866,0.09
23,SUSHIL MISHRA (SABAKE MAHARAJ),Independent,1400,1,1401,0.14
24,NOTA,None of the Above,2872,19,2891,0.29
,Total, ,1009607,3644,1013251,
