SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PRABHU SINGH THAKUR,Indian National Congress,340335,354,340689,32.85
2,RAJKUMAR YADAV,Bahujan Samaj Party,20327,36,20363,1.96
3,RAJBAHADUR SINGH,Bharatiya Janata Party,645338,893,646231,62.31
4,KAMAL KHATIK,Pragatishil Samajwadi Party (Lohia),6362,1,6363,0.61
5,RAMNARESH TIWARI (RAMJEE),Samagra Utthan Party,1336,4,1340,0.13
6,VINAY SEN,Bhartiya Shakti Chetna Party,1645,0,1645,0.16
7,KANCHHEDILAL KUSHWAH,Independent,2597,0,2597,0.25
8,MOH. KHURRAM QURESHI,Independent,1736,0,1736,0.17
9,"DEVENDRA JAIN "" MILAN""",Independent,4021,3,4024,0.39
10,"MAHENDRA SINGH PATEL ""BARUAL""",Independent,3453,1,3454,0.33
11,NOTA,None of the Above,8724,9,8733,0.84
,Total, ,1035874,1301,1037175,
