SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ACCHE LAL KUSHAWAHA,Bahujan Samaj Party,109901,60,109961,9.87
2,GANESH SINGH,Bharatiya Janata Party,587410,1343,588753,52.87
3,RAJARAM TRIPATHI,Indian National Congress,356973,307,357280,32.08
4,NAND KISHOR PRAJAPATI,Peoples Party of India (Democratic),6961,3,6964,0.63
5,MANORAJ DWIVEDI,Janata Congress,1481,1,1482,0.13
6,MHENDRA SINGH,Bhartiya Shakti Chetna Party,1227,0,1227,0.11
7,DR. RAJENDRA TRIPATHI,Bharatiya Jan Morcha Party,1055,0,1055,0.09
8,RAMKUSHAL KEWAT,Bhartiya Manav Samaj Party,1311,0,1311,0.12
9,RAM NIVAS SEN,Republican Party of India (A),1532,1,1533,0.14
10,RAM VISHWAS PAL,Rashtriya Samaj Paksha,2161,3,2164,0.19
11,VIPIN SINGH TIWARI,Smart Indians Party,3892,1,3893,0.35
12,SHASHANK SINGH BAGHEL,Sapaks Party,2444,6,2450,0.22
13,ASHOK VISHWAKARMA,Independent,4219,1,4220,0.38
14,MOHD. JIBRAIL,Independent,5259,0,5259,0.47
15,NASIR KHAN,Independent,5639,0,5639,0.51
16,BABU LAL,Independent,6805,1,6806,0.61
17,"MAHESH SAHU ""PAPPU""",Akhil Bharat Hindu Mahasabha,3081,0,3081,0.28
18,MUNNI KRANTI,Independent,3599,1,3600,0.32
19,SURENDRA PANDEY KUWAN,Independent,2564,0,2564,0.23
20,Dr. SURESH PRASAD TRIPATHI,Independent,920,1,921,0.08
21,PHOUJI SANDIP BABA,Independent,846,3,849,0.08
22,NOTA,None of the Above,2636,8,2644,0.24
,Total, ,1111916,1740,1113656,
