SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Ajay Arjun Singh,Indian National Congress,411282,536,411818,32.11
2,Ram Lal Panika,Bahujan Samaj Party,26511,29,26540,2.07
3,Riti Pathak,Bharatiya Janata Party,697212,1130,698342,54.44
4,Com. Sanjay Namdeo,Communist Party of India,27647,4,27651,2.16
5,Anup Singh Sengar,Samagra Utthan Party,5058,0,5058,0.39
6,Ashish Kumar Singh Chauhan,Shivsena,2445,2,2447,0.19
7,Nirmala Dr. H.L. Prajapati,Akhil Bhartiya Gondwana Party,5580,9,5589,0.44
8,Fatte Bahadur Singh Markam,Gondvana Gantantra Party,17025,7,17032,1.33
9,Ram Kripal Bashor,Republican Party of India (A),2529,0,2529,0.2
10,Ramdas Shah Mulnivasi,Peoples Party of India (Democratic),6181,1,6182,0.48
11,Ram Rahees Kol,Communist Party of India (Marxist-Leninist) Red Star,3847,1,3848,0.3
12,Ramvishal Pal,Rashtriya Shoshit Samaj Party,5132,3,5135,0.4
13,"Ramadhar Gupta ""Mai Ke Lal""",Sapaks Party,6097,0,6097,0.48
14,Shyam Lal Vaishya,Bhartiya Shakti Chetna Party,10439,1,10440,0.81
15,Gyani Jaiswal,Saman Aadmi Saman Party,6368,0,6368,0.5
16,Dileep Kumar Shukla,Independent,15555,0,15555,1.21
17,Dharmendra Singh Baghel,Independent,6856,0,6856,0.53
18,Dheerendra Kumar,Independent,1953,3,1956,0.15
19,Rakesh Kumar Patel,Independent,5305,22,5327,0.42
20,Ram Kumar Jaysval,Independent,2071,0,2071,0.16
21,Ramraj Yadav,Independent,1120,0,1120,0.09
22,Ramsahay Sahu,Independent,1066,0,1066,0.08
23,Ramawatar Vishwakarma,Independent,1348,2,1350,0.11
24,Lalan,Independent,1887,0,1887,0.15
25,Lalta Prasad Jayswal,Independent,2846,0,2846,0.22
26,"Shrawan Kumar Dwivedi ""Samajwadi""",Independent,1968,0,1968,0.15
27,NOTA,None of the Above,5618,9,5627,0.44
,Total, ,1280946,1759,1282705,
