SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Ahirwar Kiran,Indian National Congress,323776,413,324189,29.56
2,Dr Virendra Kumar,Bharatiya Janata Party,670967,1281,672248,61.3
3,Ahirwar Shripat Shikshak,Poorvanchal Rashtriya Congress,9905,1,9906,0.9
4,"Kamta Prasad Kori ""K.P.""",Pragatishil Samajwadi Party (Lohia),2067,1,2068,0.19
5,Narayan Das Jatav,Madhya Pradesh Jan Vikas Party,1829,2,1831,0.17
6,N.R. Prajapati,Adarsh Nyay Rakshak Party,2359,1,2360,0.22
7,R.D. Prajapati,Samajwadi Party,42519,66,42585,3.88
8,Surjeet Chadar,Bhartiya Shakti Chetna Party,2099,1,2100,0.19
9,"Shriram Nagar ""Shikshak""",Sapaks Party,2223,2,2225,0.2
10,Jitendra Banshkar,Independent,2185,1,2186,0.2
11,R.B. Prajapati Advocate,Independent,5938,0,5938,0.54
12,Pramod Prajapati,Independent,3171,0,3171,0.29
13,Shobha Valmiki,Independent,7934,1,7935,0.72
14,Suresh Kori,Independent,7370,1,7371,0.67
15,NOTA,None of the Above,10593,6,10599,0.97
,Total, ,1094935,1777,1096712,
