SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Geetawali Er. P.S. Ahirwar,Bahujan Samaj Party,14319,90,14409,1.15
2,Ramakant Bhargava,Bharatiya Janata Party,850443,2579,853022,68.23
3,Shailendra Rameshchandra Patel,Indian National Congress,348815,1123,349938,27.99
4,Madan Lal Bhadoriya,Prajatantrik Samadhan Party,4609,3,4612,0.37
5,Ramkrishna Surywanshi,Bahujan Mukti Party,999,1,1000,0.08
6,Anil Malviya Patrakar,Independent,792,1,793,0.06
7,"Mohd. Talat Khan ""Talat""",Independent,1086,0,1086,0.09
8,Devendra Singh Chouhan,Independent,2633,1,2634,0.21
9,Naveen Jatav,Independent,1185,2,1187,0.09
10,Mahant Pratap Giri,Independent,1258,2,1260,0.1
11,Vivek Kumar,Independent,2681,3,2684,0.21
12,Shailendra Patel,Independent,3897,1,3898,0.31
13,Sudhir Kumar,Independent,5101,1,5102,0.41
14,NOTA,None of the Above,8591,28,8619,0.69
,Total, ,1246409,3835,1250244,
