SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,WAKALE NAMDEO ARJUN,Bahujan Samaj Party,6654,38,6692,0.56
2,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,696961,7699,704660,58.54
3,SANGRAM ARUNKAKA JAGTAP,Nationalist Congress Party,419364,3822,423186,35.15
4,KALIRAM BAHIRU POPALGHAT,Bhartiya Navjawan Sena (Paksha),3183,9,3192,0.27
5,DHIRAJ MOTILAL BATADE,Right to Recall Party,1489,3,1492,0.12
6,FARUKH ISMAIL SHAIKH,Bharatiya Praja Surajya Paksha,2499,3,2502,0.21
7,SUDHAKAR LAXMAN AVHAD,Vanchit Bahujan Aaghadi,31644,163,31807,2.64
8,SANJAY DAGDU SAWANT,Bahujan Mukti Party,1491,16,1507,0.13
9,APPASAHEB NAVNATH PALVE,Independent,709,7,716,0.06
10,KAMAL DASHRATH SAWANT,Independent,1315,2,1317,0.11
11,DATTATRAY APPA WAGHMODE,Independent,963,8,971,0.08
12,BHASKAR FAKIRA PATOLE,Independent,1242,0,1242,0.1
13,RAMNATH GAHININATH GOLHAR,Independent,1267,1,1268,0.11
14,SHAIKH AABID HUSSAIN MOHAMMAD HANIF,Independent,2484,4,2488,0.21
15,SAINATH BHAUSAHEB GHORPADE,Independent,3981,5,3986,0.33
16,SUPEKAR DNYANDEO NARHARI,Independent,2764,3,2767,0.23
17,Er. SANJIV BABANRAO BHOR,Independent,3793,45,3838,0.32
18,SANDIP LAXMAN SAKAT,Independent,3740,5,3745,0.31
19,SHRIDHAR JAKHUJI DAREKAR,Independent,2346,3,2349,0.2
20,NOTA,None of the Above,4016,56,4072,0.34
,Total, ,1191905,11892,1203797,
