SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Bhai B.C.Kamble,Bahujan Samaj Party,7736,44,7780,0.69
2,Dhotre Sanjay Shamrao,Bharatiya Janata Party,552898,1546,554444,49.53
3,Hidayatullah Barakatullah Patel,Indian National Congress,254094,276,254370,22.72
4,Arun Kankar Wankhede,Peoples Party of India (Democratic),3038,10,3048,0.27
5,Ambedkar (Adv) Prakash Yashwant,Vanchit Bahujan Aaghadi,278241,607,278848,24.91
6,Mrs. Pravina Laxmanrao Bhatkar,Bahujan Mukti Party,3579,4,3583,0.32
7,Arun Manohar Thakare,Independent,1528,12,1540,0.14
8,Social Worker Gajanan Onkar Harne (Anna),Independent,1272,6,1278,0.11
9,Pravin Chandrakant Kaurpuriya,Independent,963,2,965,0.09
10,Murlidhar Lalsing Pawar,Independent,2134,7,2141,0.19
11,Sachin Ganpatlal Sharma,Independent,2575,2,2577,0.23
12,NOTA,None of the Above,8844,22,8866,0.79
,Total, ,1116902,2538,1119440,
