SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Chandrakant Khaire,Shivsena,383759,791,384550,32.09
2,Jaya Balu Rajkundal,Bahujan Samaj Party,4793,28,4821,0.4
3,Zambad Subhash Manakchand,Indian National Congress,91688,101,91789,7.66
4,Agrawal Kunjbihari Jugalkishor,Pragatishil Samajwadi Party (Lohia),1811,1,1812,0.15
5,Arvind Kisanrao Kamble,Bahujan Republican Socialist Party,2775,4,2779,0.23
6,Imtiaz Jaleel Syed,All India Majlis-E-Ittehadul Muslimeen,388784,258,389042,32.47
7,Uttam Dhanu Rathod,Aasra Lokmanch Party,2212,1,2213,0.18
8,Dipali Lalaji Misal,Bahujan Mukti Party,1663,3,1666,0.14
9,Nadim Rana,Bahujan Maha Party,1210,0,1210,0.1
10,M. B. Magare,Peoples Party of India (Democratic),1226,2,1228,0.1
11,Mohammad Jaqeer Abdul Qadar,Bharat Prabhat Party,3194,4,3198,0.27
12,Mohsin Sir Nasim Bhai,Navbharat Nirman Party,4590,0,4590,0.38
13,Subhash Kisanrao Patil,"Maharashtra Swabhimaan Paksh,",1874,4,1878,0.16
14,Habib Gayas Shaikh,Ambedkar National Congress,1503,0,1503,0.13
15,Kurangal Sanjay Baburao,Independent,1351,1,1352,0.11
16,Khan Aejaz Ahemad,Independent,5042,1,5043,0.42
17,Jagan Baburao Salve,Independent,3216,0,3216,0.27
18,Fulare Suresh Asaram,Independent,867,0,867,0.07
19,Ravindra Bhanudas Kale,Independent,922,0,922,0.08
20,Shaikh Khaja Shaikh Kasim Kismatwala,Independent,1869,0,1869,0.16
21,Sangita Kalyanrao Nirmal,Independent,2213,1,2214,0.18
22,Harshwardhandada Raibhanji Jadhav,Independent,283237,561,283798,23.68
23,Tribhuvan Madhukar Padmakar,Independent,1731,1,1732,0.14
24,NOTA,None of the Above,4919,10,4929,0.41
,Total, ,1196449,1772,1198221,
