SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Panchabudhe Nana Jairam,Nationalist Congress Party,448285,4564,452849,36.38
2,Dr. Vijaya Rajesh Nandurkar,Bahujan Samaj Party,52433,226,52659,4.23
3,Sunil Baburao Mendhe,Bharatiya Janata Party,646152,4091,650243,52.23
4,K. N. Nanhe,Vanchit Bahujan Aaghadi,45587,255,45842,3.68
5,B. D. Borkar,Peoples Party of India (Democratic),1462,6,1468,0.12
6,Maraskolhe Bhojraj Isulal,Bhartiya Shakti Chetna Party,882,23,905,0.07
7,Kalchuri Nilesh Paransingh,Independent,546,1,547,0.04
8,Gajbhiye Pramod Hiraman,Independent,978,2,980,0.08
9,Adv. Jaiswal Virendrakumar Kasturchand,Independent,2690,9,2699,0.22
10,Devidas Santuji Lanjewar,Independent,1542,7,1549,0.12
11,Patle Rajendra Sahasram,Independent,13079,66,13145,1.06
12,Dr. Sunil Sampat Chawale,Independent,1504,3,1507,0.12
13,Sumit Vijay Pande,Independent,3028,3,3031,0.24
14,Suhas Anil Funde,Independent,6980,3,6983,0.56
15,NOTA,None of the Above,10412,112,10524,0.85
,Total, ,1235560,9371,1244931,
