SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Abdul Hafeez Abdul Aziz,Bahujan Samaj Party,6503,62,6565,0.59
2,Jadhav Prataprao Ganpatrao,Shivsena,520537,1440,521977,46.59
3,Dr. Rajendra Bhaskarrav Shingne,Nationalist Congress Party,388293,397,388690,34.69
4,Pratap Pandharinath Patil,Bahujan Mukti Party,4289,18,4307,0.38
5,Siraskar Baliram Bhagwan,Vanchit Bahujan Aaghadi,172306,321,172627,15.41
6,Ananta Datta Puri,Independent,1888,7,1895,0.17
7,Gajanan Uttam Shantabai,Independent,1256,8,1264,0.11
8,Dinkar Tukaram Sambare,Independent,4160,2,4162,0.37
9,Pravin Shriram More,Independent,2236,9,2245,0.2
10,Wamanrao Ganpatrao Akhare,Independent,1849,4,1853,0.17
11,Bhai Vikas Prakash Nandve,Independent,4112,5,4117,0.37
12,Vijay Banwarilalji Masani,Independent,2974,2,2976,0.27
13,NOTA,None of the Above,7666,15,7681,0.69
,Total, ,1118069,2290,1120359,
