SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Ahir Hansraj Gangaram,Bharatiya Janata Party,512728,2016,514744,41.56
2,Balubhau alias Suresh Narayan Dhanorkar,Indian National Congress,557550,1957,559507,45.18
3,Sushil Segoji Wasnik,Bahujan Samaj Party,11770,40,11810,0.95
4,Dr. Gautam Ganpat Nagrale,Bahujan Mukti Party,2432,18,2450,0.2
5,Nitesh Anandrao Dongre,Ambedkarite Party of India,4694,7,4701,0.38
6,Madavi Dashrath Pandurang,Bahujan Republican Socialist Party,3075,28,3103,0.25
7,Madhukar Vitthal Nistane,"Proutist Bloc, India",1589,0,1589,0.13
8,Adv. Rajendra Shriramji Mahadole,Vanchit Bahujan Aaghadi,111547,532,112079,9.05
9,Shedmake Namdeo Manikrao,Gondvana Gantantra Party,3057,14,3071,0.25
10,Arvind Nanaji Raut,Independent,1473,0,1473,0.12
11,Namdo Keshao Kinake,Independent,5632,7,5639,0.46
12,Milind Pralhad Dahiwale,Independent,2424,2,2426,0.2
13,Rajendra Krishnarao Hajare,Independent,4504,1,4505,0.36
14,NOTA,None of the Above,11311,66,11377,0.92
,Total, ,1233786,4688,1238474,
