SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Ashok Tryambak Jadhav (Sir),Bahujan Samaj Party,7678,42,7720,0.68
2,Gavit Jeeva Pandu,Communist Party of India (Marxist),109485,85,109570,9.63
3,Dhanraj Haribhau Mahale,Nationalist Congress Party,368111,580,368691,32.41
4,Dr. Bharati Pravin Pawar,Bharatiya Janata Party,565452,2018,567470,49.88
5,Dadasaheb Hiraman Pawar,Rashtriya Maratha Party,5737,17,5754,0.51
6,Barde Dattu Kashinath,Bhartiya Tribal Party,5619,12,5631,0.49
7,Bapu Kelu Barde,Vanchit Bahujan Aaghadi,58749,98,58847,5.17
8,Adv. Bagul Tikaram Katthu,Independent,4495,7,4502,0.4
9,NOTA,None of the Above,9428,18,9446,0.83
,Total, ,1134754,2877,1137631,
