SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Unmesh Bhaiyyasaheb Patil,Bharatiya Janata Party,709510,4364,713874,65.6
2,Gulabrao Baburao Deokar,Nationalist Congress Party,299240,3017,302257,27.77
3,Rahul Narayan Bansode,Bahujan Samaj Party,3403,25,3428,0.31
4,Ishwar Dayaram More (Maji Sainik),Bahujan Mukti Party,1238,24,1262,0.12
5,Anjali Ratnakar Baviskar,Vanchit Bahujan Aaghadi,37164,202,37366,3.43
6,Sant Shri Baba Mahahansaji Maharaj Patil,Hindusthan Nirman Dal,1288,7,1295,0.12
7,Mohan Shankar Birhade,Rashtriya Samajwadi Party (Secular),664,6,670,0.06
8,Sharad Gorakh Bhamre (Sutar),Rashtriya Janshakti Party (Secular),814,3,817,0.08
9,Anant Prabhakar Mahajan,Independent,6557,5,6562,0.6
10,Onkaraba Chensing Jadhav,Independent,3137,7,3144,0.29
11,Mukesh Rajesh Kuril,Independent,1381,2,1383,0.13
12,Lalit (Bunty) Gaurishankar Sharma,Independent,1108,0,1108,0.1
13,Subhash Shivlal Khairnar,Independent,1628,1,1629,0.15
14,Sancheti Rupesh Parasmal,Independent,3149,1,3150,0.29
15,NOTA,None of the Above,10295,37,10332,0.95
,Total, ,1080576,7701,1088277,
