SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Autade Vilas Keshavrao,Indian National Congress,364348,856,365204,30.23
2,Danve Raosaheb Dadarao,Bharatiya Janata Party,694945,3074,698019,57.78
3,Mahendra Kachru Sonwane,Bahujan Samaj Party,9048,20,9068,0.75
4,Uttam Dhanu Rathod,Aasra Lokmanch Party,2640,3,2643,0.22
5,Ganesh Shankar Chandode,Akhil Bharatiya Sena,1562,5,1567,0.13
6,Pramod Baburao Kharat,Bahujan Republican Socialist Party,1061,1,1062,0.09
7,Feroz Ali,Bahujan Mukti Party,2013,4,2017,0.17
8,Dr. Sharadchandra Wankhede,Vanchit Bahujan Aaghadi,76924,234,77158,6.39
9,Adv. Trimbak Baburao Jadhav,Swatantra Bharat Paksha,5285,14,5299,0.44
10,Annasaheb Devidasrao Ugale,Independent,1209,0,1209,0.1
11,Anita Lalchand Khandade (Rajput),Independent,1739,6,1745,0.14
12,Arun Chintaman Chavhan,Independent,2843,1,2844,0.24
13,Ahemad Rahim Shaikh,Independent,1760,3,1763,0.15
14,Nade Dnyaneshwar Dagduji,Independent,2678,1,2679,0.22
15,Adv. Yogesh Dattu Gullapelli,Independent,3483,2,3485,0.29
16,Ratan Aasaram Landge,Independent,6170,0,6170,0.51
17,Raju Ashok Gawali,Independent,4081,0,4081,0.34
18,Shahadev Mahadev Palve,Independent,4184,3,4187,0.35
19,Sapkal Lilabai Dharma,Independent,1152,2,1154,0.1
20,Sirsath Sham,Independent,1146,2,1148,0.1
21,NOTA,None of the Above,15550,87,15637,1.29
,Total, ,1203821,4318,1208139,
