SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BABAJI BALARAM PATIL,Nationalist Congress Party,215014,366,215380,24.19
2,RAVINDRA (PINTU) KENE,Bahujan Samaj Party,9604,23,9627,1.08
3,Dr. SHRIKANT EKNATH SHINDE,Shivsena,558023,1700,559723,62.87
4,Gautam Baburao Waghchaure,Bahujan Mukti Party,2660,2,2662,0.3
5,MILIND KAMBLE,Bharat Jan Aadhar Party,793,5,798,0.09
6,MUNIR AHMAD ANSARI,Indian Union Muslim League,1302,0,1302,0.15
7,MOHAMMED AHMED KHAN (AHMED NETA),Bahujan Maha Party,1030,1,1031,0.12
8,SALVE VINOD MANOHAR,Bhartiya Kisan Party,3260,1,3261,0.37
9,Dr. Suresh Abhiman Gawai,Bharat Prabhat Party,841,2,843,0.09
10,SANJAY HEDAOO,Vanchit Bahujan Aaghadi,65362,210,65572,7.37
11,Santosh Bhikaji Bhalerao,Ambedkarite Party of India,1078,3,1081,0.12
12,Habibur Rehman,Peace Party,1073,0,1073,0.12
13,Haresh Sambhaji Bramhane,Bahujan Republican Socialist Party,721,1,722,0.08
14,AJAYSHYAM RAMLAKHAN MORYA,Independent,1274,0,1274,0.14
15,Amrish Raj Morajkar,Independent,915,0,915,0.1
16,Asmita Pushkar Puranik,Independent,2511,1,2512,0.28
17,Chandrakant Rambhaji Mote,Independent,1365,0,1365,0.15
18,Zafarullah Gulam Rab Sayyed,Independent,495,0,495,0.06
19,DINKAR RANGANATH PHALAKE,Independent,1389,0,1389,0.16
20,Nafees Ansari,Independent,434,0,434,0.05
21,NARENDRBHAI MORE,Independent,690,0,690,0.08
22,YASMIN BANOO MOHD. SALIM,Independent,412,1,413,0.05
23,Mo. Yusuf Mo. Farooq Khan,Independent,429,0,429,0.05
24,Vinay Dubey,Independent,471,0,471,0.05
25,SHIVA KRISHNAMURTHY IYER,Independent,765,2,767,0.09
26,Sayyed Waseem Ali Nazir Ali,Independent,1093,0,1093,0.12
27,Suhas Dhananjay Bonde,Independent,1186,1,1187,0.13
28,SONALI ASHOK GANGAWANE,Independent,790,2,792,0.09
29,NOTA,None of the Above,12975,37,13012,1.46
,Total, ,887955,2358,890313,
