SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Aappa Aaba Lokare,Bahujan Samaj Party,6839,44,6883,0.57
2,Ranjeetsinha Hindurao Naik- Nimbalkar,Bharatiya Janata Party,583191,3123,586314,48.2
3,Sanjaymama Vitthalrao Shinde,Nationalist Congress Party,498441,2109,500550,41.15
4,Navnath Bhimrao Patil,Hindusthan Praja Paksha,3743,7,3750,0.31
5,Nanaso Ramhari Yadav,Bharatiya Praja Surajya Paksha,1384,2,1386,0.11
6,Bramhakumari Pramilaben,Akhil Bhartiya Ekata Party,1002,4,1006,0.08
7,Keskar Maruti Shivram,Bahujan Azad Party,6584,23,6607,0.54
8,Er. Ramchandra Mayyappa Ghutukade,Bahujan Republican Socialist Party,1078,5,1083,0.09
9,Adv. Vijayrao More,Vanchit Bahujan Aaghadi,51349,183,51532,4.24
10,Shahajahan Paigambar Shaikh,Bahujan Maha Party,4811,3,4814,0.4
11,Sunil Gunda Jadhav,Bahujan Mukti Party,2017,7,2024,0.17
12,Ajinath Laxman Kevate,Independent,1510,2,1512,0.12
13,Ajinkya Aakaram Salunkhe,Independent,1736,4,1740,0.14
14,Annaso Sukhadev Maske,Independent,3222,0,3222,0.26
15,Aware Siddheshwar Bharat,Independent,1910,1,1911,0.16
16,Dattatrya Bhanudas Khatke Alias Bandunana Khatke,Independent,2399,0,2399,0.2
17,Dilip Ramchandra Jadhav,Independent,1935,0,1935,0.16
18,Daulat Umaji Shitole,Independent,12859,10,12869,1.06
19,Nandu Sambhaji More,Independent,2211,3,2214,0.18
20,Mohan Vishnu Raut,Independent,973,0,973,0.08
21,Ramdas Mane,Independent,3010,6,3016,0.25
22,Rohit More,Independent,1118,1,1119,0.09
23,Vijayraj Balasaheb Mane Deshmukh,Independent,661,1,662,0.05
24,Adv. Vijayanand Shankarrao Shinde,Independent,626,3,629,0.05
25,Vishvambhar Narayan Kashid,Independent,1156,1,1157,0.1
26,Adv. Sachin Bhaskar Jore,Independent,752,0,752,0.06
27,Sachin Dnyaneshwar Padalkar,Independent,1191,6,1197,0.1
28,Savita Ankush Aiwle,Independent,1445,6,1451,0.12
29,Santosh Balasaheb Bichukale,Independent,1418,0,1418,0.12
30,Sandip Janaradhan Kharat,Independent,5002,2,5004,0.41
31,Sandip Vitthal Pol,Independent,1517,7,1524,0.13
32,NOTA,None of the Above,3642,24,3666,0.3
,Total, ,1210732,5587,1216319,
