SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Patil Sanjay Dina,Nationalist Congress Party,287555,558,288113,31.7
2,Manoj Kotak,Bharatiya Janata Party,513579,1020,514599,56.61
3,Sanjay Chandrabahadur Singh (Kunwar),Bahujan Samaj Party,7770,7,7777,0.86
4,Adv. Ganesh Iyer,Bahujan Maha Party,1336,0,1336,0.15
5,Jayashri Minesh Shah,Bhartiya Manavadhikaar Federal Party,535,1,536,0.06
6,Dandge Sukhdev Chandu,Ambedkarite Party of India,711,0,711,0.08
7,Niharika Prakashchandra Khondalay,Vanchit Bahujan Aaghadi,68089,150,68239,7.51
8,Nutan Sharad Kumar Singh,Aapki Apni Party (Peoples),565,1,566,0.06
9,Adv. Vijay Janardan Shiktode,Bahujan Republican Socialist Party,462,1,463,0.05
10,Vinod Narayan Chaugule,Sanatan Sanskriti Raksha Dal,564,0,564,0.06
11,Shahenaz Begum Mohd Siraj Khan,Rashtriya Ulama Council,569,1,570,0.06
12,Sushma Maurya,Jan Adhikar Party,820,0,820,0.09
13,Shrikant Suburao Shinde,Bahujan Mukti Party,726,1,727,0.08
14,Anil Hebbar Koni,Independent,677,0,677,0.07
15,Kurhade Sneha Ravindra,Independent,1267,0,1267,0.14
16,Jatin Rangrao Harne,Independent,1573,0,1573,0.17
17,Jaywant Shriram Sawant (Pappa),Independent,1878,3,1881,0.21
18,Jitendra Kumar Nanaku Pal,Independent,779,0,779,0.09
19,Thoke Baban Sopan,Independent,344,0,344,0.04
20,Dayanand Jagannath Sohani,Independent,296,0,296,0.03
21,Deepak Digambar Shinde,Independent,291,1,292,0.03
22,Nilesh Ramchandra Kudtarkar,Independent,264,0,264,0.03
23,Pravin Chandrakant Kedare,Independent,388,0,388,0.04
24,Bhaskar Mohan Gaud,Independent,629,0,629,0.07
25,Rakesh Sambhaji Raul,Independent,218,1,219,0.02
26,Shahajirao Dhondiba Thorat,Independent,2063,0,2063,0.23
27,Shahina Parveen Shakil Ahmed Khan,Independent,834,0,834,0.09
28,NOTA,None of the Above,12446,20,12466,1.37
,Total, ,907228,1765,908993,
